TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
2,100320,1,1.00,0.00,8627321,51,38,0,0,89
2,100320,1,1.00,0.00,8627322,28,50,0,0,78
2,100320,1,1.00,0.00,8627323,33,61,0,0,94
2,100320,1,1.00,0.00,8627324,5,10,0,86,273
2,100320,1,1.00,0.00,8627325,23,3,1,25,102
2,100320,1,1.00,0.00,8627326,14,8,0,2,28
2,100320,1,1.00,0.00,8627327,3,7,0,2,16
2,100320,1,1.00,0.00,8627328,4,6,0,5,25
2,100320,1,1.00,0.00,8627329,8,8,0,2,22
2,100320,1,1.00,0.00,8627330,4,24,3,0,31
2,100320,1,1.00,0.00,8627331,13,13,0,11,59
2,100320,1,1.00,0.00,8627332,3,9,0,1,15
2,100321,1,1.00,0.00,8623527,4,9,1,0,14
2,100321,1,1.00,0.00,8623528,3,3,4,1,13
2,100321,1,1.00,0.00,8623529,6,7,0,49,160
2,100321,1,1.00,0.00,8623530,3,24,0,1,30
2,100321,1,1.00,0.00,8623531,2,10,0,1,15
2,100321,1,1.00,0.00,8623532,5,8,4,0,17
2,100321,1,1.00,0.00,8623533,34,0,0,0,34
2,100321,1,1.00,0.00,8623534,7,6,0,0,13
2,100321,1,1.00,0.00,8623535,11,13,0,1,27
2,100321,1,1.00,0.00,8623536,4,34,0,2,44
2,100321,1,1.00,0.00,8623537,50,4,4,0,58
2,100321,1,1.00,0.00,8623538,4,7,0,1,14
2,100321,1,1.00,0.00,8623539,3,6,0,5,24
2,100321,1,1.00,0.00,8623540,3,6,0,4,21
2,100321,1,1.00,0.00,8623541,8,14,0,8,46
2,100321,1,1.00,0.00,8623542,3,9,0,0,12
2,100321,1,1.00,0.00,8623543,68,4,0,11,105
2,100321,1,1.00,0.00,8623544,29,120,0,2,155
2,100321,1,1.00,0.00,8623545,107,8,0,0,115
2,100321,1,1.00,0.00,8623546,45,15,0,1,63
2,100321,1,1.00,0.00,8623547,13,68,2,0,83
2,100321,1,1.00,0.00,8623548,9,8,0,8,41
2,100321,1,1.00,0.00,8623549,19,3,0,0,22
2,100321,1,1.00,0.00,8623550,17,1,0,2,24
2,100321,1,1.00,0.00,8623551,7,5,0,0,12
2,100321,1,1.00,0.00,8623552,13,2,0,4,27
2,100321,1,1.00,0.00,8623553,14,10,0,9,51
2,100321,1,1.00,0.00,8623554,5,12,0,2,23
2,100321,1,1.00,0.00,8623555,4,7,0,2,17
2,100321,1,1.00,0.00,8623556,29,15,0,0,44
2,100321,1,1.00,0.00,8623557,5,6,0,3,20
2,100321,1,1.00,0.00,8623558,3,17,3,0,23
2,100321,1,1.00,0.00,8623559,13,63,2,0,78
2,100321,1,1.00,0.00,8623560,58,17,0,0,75
2,100321,1,1.00,0.00,8623561,31,160,0,0,191
2,100321,1,1.00,0.00,8623562,17,171,0,0,188
2,100321,1,1.00,0.00,8623563,138,0,0,0,138
2,100321,1,1.00,0.00,8623564,44,122,0,0,166
2,100321,1,1.00,0.00,8623565,24,217,2,2,249
2,100321,1,1.00,0.00,8623566,137,61,0,0,198
2,100321,1,1.00,0.00,8623567,3,30,14,0,47
2,100321,1,1.00,0.00,8623568,32,85,0,1,120
2,100321,1,1.00,0.00,8623569,25,68,0,4,105
2,100321,1,1.00,0.00,8623570,14,39,0,0,53
2,100321,1,1.00,0.00,8623571,29,97,0,6,144
2,100321,1,1.00,0.00,8623572,4,7,0,24,83
2,100321,1,1.00,0.00,8623573,4,4,0,1,11
2,100321,1,1.00,0.00,8623574,6,15,0,0,21
2,100321,1,1.00,0.00,8623575,3,6,0,0,9
2,100321,1,1.00,0.00,8623576,16,23,1,2,46
2,100321,1,1.00,0.00,8623577,4,6,0,9,37
2,100321,1,1.00,0.00,8623578,35,7,0,2,48
2,100321,1,1.00,0.00,8623579,8,57,0,8,89
2,100321,1,1.00,0.00,8623580,7,8,0,1,18
2,100321,1,1.00,0.00,8623581,5,14,0,7,40
2,100321,1,1.00,0.00,8623582,3,8,0,0,11
2,100321,1,1.00,0.00,8623583,5,11,22,3,47
2,100321,1,1.00,0.00,8623584,4,4,0,2,14
2,100321,1,1.00,0.00,8623585,5,11,0,5,31
2,100321,1,1.00,0.00,8623586,4,9,0,0,13
1,100320,5,5.00,0.00,8627333,14,38,0,0,52
1,100320,5,5.00,0.00,8627334,21,18,0,0,39
1,100320,5,5.00,0.00,8627335,31,4,0,0,35
1,100320,5,5.00,0.00,8627336,11,13,0,5,39
1,100320,5,5.00,0.00,8627337,47,0,0,1,50
1,100320,5,5.00,0.00,8627338,8,5,0,1,16
1,100320,5,5.00,0.00,8627339,3,13,0,0,16
1,100320,5,5.00,0.00,8627340,9,4,0,1,16
1,100320,5,5.00,0.00,8627341,34,13,0,0,47
1,100320,5,5.00,0.00,8627342,6,8,0,1,17
1,100320,5,5.00,0.00,8627343,3,17,0,1,23
1,100320,5,5.00,0.00,8627344,71,10,0,0,81
1,100320,5,5.00,0.00,8627345,3,4,0,1,10
1,100320,5,5.00,0.00,8627346,8,2,0,3,19
1,100320,5,5.00,0.00,8627347,7,17,0,0,24
1,100320,5,5.00,0.00,8627348,7,12,0,35,124
1,100320,5,5.00,0.00,8627349,37,21,0,0,58
1,100320,5,5.00,0.00,8627350,72,13,9,0,94
