TestNumber,Account,OrdPerSec,OrdPerSec_Mean,Order,New,Calculated1,Filled,Calculated2,Total
1,100320,1,0.98,8058498,9,29,0,5,53
1,100320,1,0.98,8058499,640,54,0,0,694
1,100320,1,0.98,8058501,12,10,0,0,22
1,100320,1,0.98,8058503,680,93,37,3,819
1,100320,1,0.98,8058505,1183,193,2,0,1378
1,100320,1,0.98,8058507,59,10,0,54,231
1,100320,1,0.98,8058508,782,80,0,0,862
1,100320,1,0.98,8058511,5,21,0,1,29
1,100320,1,0.98,8058513,5,5,0,0,10
1,100320,1,0.98,8058514,349,9,0,30,448
1,100320,1,0.98,8058517,8,5,0,0,13
1,100320,1,0.98,8058519,18,1,0,0,19
1,100320,1,0.98,8058521,29,19,0,0,48
1,100320,1,0.98,8058522,38,54,0,0,92
1,100320,1,0.98,8058524,22,12,0,3,43
1,100320,1,0.98,8058526,3,2,0,1,8
1,100320,1,0.98,8058528,5,23,0,0,28
1,100320,1,0.98,8058530,2,4,0,1,9
1,100320,1,0.98,8058532,3,2,0,1,8
1,100320,1,0.98,8058534,4,7,4,0,15
1,100320,1,0.98,8058536,7,5,0,4,24
1,100320,1,0.98,8058538,3,7,1,0,11
1,100320,1,0.98,8058540,7,5,2,0,14
1,100320,1,0.98,8058542,3,5,0,1,11
1,100320,1,0.98,8058544,5,4,0,8,33
1,100320,1,0.98,8058546,19,5,0,0,24
1,100320,1,0.98,8058548,5,5,0,0,10
1,100320,1,0.98,8058550,7,5,0,0,12
1,100320,1,0.98,8058552,12,19,1,0,32
1,100320,1,0.98,8058554,2,2,0,1,7
1,100320,1,0.98,8058556,2,23,0,0,25
1,100320,1,0.98,8058558,22,3,0,1,28
1,100320,1,0.98,8058560,1,3,0,0,4
1,100320,1,0.98,8058562,4,3,4,0,11
1,100320,1,0.98,8058564,20,6,3,0,29
1,100320,1,0.98,8058566,28,25,0,1,56
1,100320,1,0.98,8058568,23,5,0,2,34
1,100320,1,0.98,8058570,4,3,0,1,10
1,100320,1,0.98,8058572,35,7,0,9,69
1,100320,1,0.98,8058574,34,58,0,0,92
1,100320,1,0.98,8058576,6,7,0,1,16
1,100320,1,0.98,8058578,2,2,0,1,7
1,100320,1,0.98,8058580,2,3,0,0,5
1,100320,1,0.98,8058582,5,4,0,0,9
1,100320,1,0.98,8058584,2,3,0,0,5
1,100320,1,0.98,8058586,2,30,0,0,32
1,100320,1,0.98,8058588,4,64,0,0,68
1,100320,1,0.98,8058590,26,3,0,1,32
1,100320,1,0.98,8058592,5,4,1,0,10
1,100320,1,0.98,8058594,11,18,2,25,106
1,100320,1,0.98,8058596,19,18,0,1,40
1,100320,1,0.98,8058598,18,1,0,0,19
1,100320,1,0.98,8058600,7,99,0,0,106
1,100320,1,0.98,8058602,7,5,1,0,13
1,100320,1,0.98,8058604,18,24,4,4,58
1,100320,1,0.98,8058606,72,105,5,0,182
1,100321,1,0.98,8056519,9,26,0,1,38
1,100321,1,0.98,8056520,657,84,0,0,741
1,100321,1,0.98,8056521,15,15,0,0,30
1,100321,1,0.98,8056522,692,118,0,0,810
1,100321,1,0.98,8056523,1181,203,0,0,1384
1,100321,1,0.98,8056524,7,92,0,0,99
1,100321,1,0.98,8056525,811,63,0,0,874
1,100321,1,0.98,8056526,2,16,0,0,18
1,100321,1,0.98,8056527,10,2,0,1,15
1,100321,1,0.98,8056528,369,37,0,2,412
1,100321,1,0.98,8056529,4,3,0,10,37
1,100321,1,0.98,8056530,7,23,0,0,30
1,100321,1,0.98,8056531,40,0,0,0,40
1,100321,1,0.98,8056532,57,12,0,1,72
1,100321,1,0.98,8056533,24,16,0,3,49
1,100321,1,0.98,8056534,7,21,0,1,31
1,100321,1,0.98,8056535,19,11,0,0,30
1,100321,1,0.98,8056536,9,7,0,0,16
1,100321,1,0.98,8056537,6,5,0,0,11
1,100321,1,0.98,8056538,63,64,1,0,128
1,100321,1,0.98,8056539,6,4,0,1,13
1,100321,1,0.98,8056540,9,4,0,2,19
1,100321,1,0.98,8056541,6,8,0,0,14
1,100321,1,0.98,8056542,6,21,0,0,27
1,100321,1,0.98,8056543,26,12,0,0,38
1,100321,1,0.98,8056544,14,55,1,0,70
1,100321,1,0.98,8056545,4,2,0,0,6
1,100321,1,0.98,8056546,3,2,0,1,8
1,100321,1,0.98,8056547,2,3,0,1,8
1,100321,1,0.98,8056548,18,9,0,0,27
1,100321,1,0.98,8056549,4,3,2,0,9
1,100321,1,0.98,8056550,2,5,0,1,10
1,100321,1,0.98,8056551,3,4,0,0,7
