TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100330,1,1.00,0.00,9120438,261,0,0,0,261
1,100330,1,1.00,0.00,9120439,72,17,0,0,89
1,100330,1,1.00,0.00,9120440,44,8,0,0,52
1,100330,1,1.00,0.00,9120441,92,33,0,1,126
1,100330,1,1.00,0.00,9120442,50,27,0,0,77
1,100330,1,1.00,0.00,9120443,94,40,0,0,134
1,100330,1,1.00,0.00,9120444,43,33,0,2,78
1,100330,1,1.00,0.00,9120445,39,7,0,2,48
1,100330,1,1.00,0.00,9120446,42,10,0,3,55
1,100330,1,1.00,0.00,9120447,38,4,0,4,46
1,100330,1,1.00,0.00,9120448,98,6,0,3,107
1,100330,1,1.00,0.00,9120449,41,45,0,0,86
1,100330,1,1.00,0.00,9120450,40,10,0,4,54
1,100330,1,1.00,0.00,9120451,94,13,0,1,108
1,100330,1,1.00,0.00,9120452,42,8,0,2,52
1,100330,1,1.00,0.00,9120453,108,8,1,2,119
1,100330,1,1.00,0.00,9120454,160,168,0,0,328
1,100330,1,1.00,0.00,9120455,43,4,0,3,50
1,100330,1,1.00,0.00,9120456,47,12,0,3,62
1,100330,1,1.00,0.00,9120457,44,354,0,0,398
1,100330,1,1.00,0.00,9120458,40,10,0,0,50
1,100330,1,1.00,0.00,9120459,67,23,60,3,153
1,100330,1,1.00,0.00,9120460,50,52,0,8,110
1,100330,1,1.00,0.00,9120461,60,17,0,2,79
1,100330,1,1.00,0.00,9120462,60,70,1,3,134
1,100330,1,1.00,0.00,9120463,65,12,0,0,77
1,100330,1,1.00,0.00,9120464,44,4,0,1,49
1,100330,1,1.00,0.00,9120465,39,83,0,0,122
1,100330,1,1.00,0.00,9120466,83,5,0,3,91
1,100330,1,1.00,0.00,9120467,92,13,1,5,111
1,100330,1,1.00,0.00,9120468,59,3,1,4,67
1,100330,1,1.00,0.00,9120469,97,4,0,1,102
1,100330,1,1.00,0.00,9120470,40,11,0,6,57
1,100330,1,1.00,0.00,9120471,42,56,0,1,99
1,100330,1,1.00,0.00,9120472,74,11,0,6,91
1,100330,1,1.00,0.00,9120473,56,473,0,0,529
1,100330,1,1.00,0.00,9120474,75,22,0,0,97
1,100330,1,1.00,0.00,9120475,38,10,0,0,48
1,100330,1,1.00,0.00,9120476,43,14,2,0,59
1,100330,1,1.00,0.00,9120477,41,10,0,0,51
1,100330,1,1.00,0.00,9120478,48,13,0,0,61
1,100330,1,1.00,0.00,9120479,37,8,0,0,45
1,100330,1,1.00,0.00,9120480,41,339,0,0,380
1,100330,1,1.00,0.00,9120481,38,4,0,1,43
1,100330,1,1.00,0.00,9120482,111,0,0,0,111
1,100330,1,1.00,0.00,9120483,38,72,0,2,112
1,100330,1,1.00,0.00,9120484,39,8,0,10,57
1,100330,1,1.00,0.00,9120485,87,393,0,0,480
1,100330,1,1.00,0.00,9120486,41,15,1,1,58
1,100330,1,1.00,0.00,9120487,60,5,0,0,65
1,100330,1,1.00,0.00,9120488,122,80,0,16,218
1,100330,1,1.00,0.00,9120489,50,265,0,0,315
1,100330,1,1.00,0.00,9120490,39,14,0,3,56
1,100330,1,1.00,0.00,9120491,45,10,0,3,58
1,100330,1,1.00,0.00,9120492,127,32,0,0,159
1,100330,1,1.00,0.00,9120493,43,11,0,2,56
1,100330,1,1.00,0.00,9120494,38,80,0,5,123
1,100330,1,1.00,0.00,9120495,42,21,0,4,67
1,100330,1,1.00,0.00,9120496,49,5,0,3,57
1,100330,1,1.00,0.00,9120497,42,38,0,0,80
2,100330,1,1.00,0.00,9120498,383,0,0,0,383
2,100330,1,1.00,0.00,9120499,56,10,0,2,68
2,100330,1,1.00,0.00,9120500,58,13,1,1,73
2,100330,1,1.00,0.00,9120501,38,27,0,6,71
2,100330,1,1.00,0.00,9120502,39,10,0,4,53
2,100330,1,1.00,0.00,9120503,50,29,0,2,81
2,100330,1,1.00,0.00,9120504,43,39,0,0,82
2,100330,1,1.00,0.00,9120505,37,9,0,3,49
2,100330,1,1.00,0.00,9120506,46,23,0,8,77
2,100330,1,1.00,0.00,9120507,41,138,0,0,179
2,100330,1,1.00,0.00,9120508,58,23,333,0,414
2,100330,1,1.00,0.00,9120509,36,9,0,5,50
2,100330,1,1.00,0.00,9120510,57,44,0,6,107
2,100330,1,1.00,0.00,9120511,37,7,0,4,48
2,100330,1,1.00,0.00,9120512,41,9,12,1,63
2,100330,1,1.00,0.00,9120513,41,11,0,6,58
2,100330,1,1.00,0.00,9120514,40,16,1,4,61
2,100330,1,1.00,0.00,9120515,39,14,0,4,57
2,100330,1,1.00,0.00,9120516,38,17,2,42,99
2,100330,1,1.00,0.00,9120517,44,4,0,0,48
2,100330,1,1.00,0.00,9120518,36,7,1,0,44
2,100330,1,1.00,0.00,9120519,42,45,0,0,87
2,100330,1,1.00,0.00,9120520,35,7,0,3,45
2,100330,1,1.00,0.00,9120521,82,16,0,1,99
2,100330,1,1.00,0.00,9120522,63,127,1,41,232
2,100330,1,1.00,0.00,9120523,52,14,0,0,66
2,100330,1,1.00,0.00,9120524,38,24,0,2,64
2,100330,1,1.00,0.00,9120525,35,8,3,0,46
2,100330,1,1.00,0.00,9120526,68,30,0,0,98
2,100330,1,1.00,0.00,9120527,35,13,0,0,48
2,100330,1,1.00,0.00,9120528,38,7,1,0,46
2,100330,1,1.00,0.00,9120529,36,10,0,0,46
2,100330,1,1.00,0.00,9120530,77,11,0,0,88
2,100330,1,1.00,0.00,9120531,41,6,0,2,49
2,100330,1,1.00,0.00,9120532,40,8,0,1,49
2,100330,1,1.00,0.00,9120533,128,0,0,0,128
2,100330,1,1.00,0.00,9120534,45,12,0,0,57
2,100330,1,1.00,0.00,9120535,41,14,0,1,56
2,100330,1,1.00,0.00,9120536,46,12,0,0,58
2,100330,1,1.00,0.00,9120537,86,42,1,30,159
2,100330,1,1.00,0.00,9120538,57,17,0,1,75
2,100330,1,1.00,0.00,9120539,47,22,0,0,69
2,100330,1,1.00,0.00,9120540,41,8,0,5,54
2,100330,1,1.00,0.00,9120541,94,0,0,0,94
2,100330,1,1.00,0.00,9120542,46,19,0,0,65
2,100330,1,1.00,0.00,9120543,43,17,0,0,60
2,100330,1,1.00,0.00,9120544,40,16,1,0,57
2,100330,1,1.00,0.00,9120545,41,24,2,0,67
2,100330,1,1.00,0.00,9120546,46,27,0,0,73
2,100330,1,1.00,0.00,9120547,36,15,1,0,52
2,100330,1,1.00,0.00,9120548,41,25,0,68,134
2,100330,1,1.00,0.00,9120549,45,32,1,2,80
2,100330,1,1.00,0.00,9120550,45,54,0,0,99
2,100330,1,1.00,0.00,9120551,56,14,0,0,70
2,100330,1,1.00,0.00,9120552,139,0,0,0,139
2,100330,1,1.00,0.00,9120553,41,65,349,0,455
2,100330,1,1.00,0.00,9120554,61,26,2,0,89
2,100330,1,1.00,0.00,9120555,123,12,0,1,136
2,100330,1,1.00,0.00,9120556,59,29,0,13,101
2,100330,1,1.00,0.00,9120557,42,38,0,0,80
2,100331,1,1.00,0.00,9121198,355,0,0,0,355
2,100331,1,1.00,0.00,9121199,60,30,0,0,90
2,100331,1,1.00,0.00,9121200,57,13,2,2,74
2,100331,1,1.00,0.00,9121201,43,33,0,0,76
2,100331,1,1.00,0.00,9121202,40,18,3,1,62
2,100331,1,1.00,0.00,9121203,50,21,0,7,78
2,100331,1,1.00,0.00,9121204,37,22,0,8,67
2,100331,1,1.00,0.00,9121205,39,35,7,0,81
2,100331,1,1.00,0.00,9121206,51,27,0,0,78
2,100331,1,1.00,0.00,9121207,133,30,1,337,501
2,100331,1,1.00,0.00,9121208,59,14,6,0,79
2,100331,1,1.00,0.00,9121209,38,14,0,0,52
2,100331,1,1.00,0.00,9121210,76,38,0,0,114
2,100331,1,1.00,0.00,9121211,37,10,0,0,47
2,100331,1,1.00,0.00,9121212,37,82,5,0,124
2,100331,1,1.00,0.00,9121213,40,25,0,0,65
2,100331,1,1.00,0.00,9121214,41,13,0,0,54
2,100331,1,1.00,0.00,9121215,39,11,0,4,54
2,100331,1,1.00,0.00,9121216,38,8,1,5,52
2,100331,1,1.00,0.00,9121217,46,16,0,3,65
2,100331,1,1.00,0.00,9121218,36,8,0,0,44
2,100331,1,1.00,0.00,9121219,42,55,0,6,103
2,100331,1,1.00,0.00,9121220,36,10,0,0,46
2,100331,1,1.00,0.00,9121221,94,17,1,0,112
2,100331,1,1.00,0.00,9121222,76,162,0,1,239
2,100331,1,1.00,0.00,9121223,53,19,0,0,72
2,100331,1,1.00,0.00,9121224,56,88,0,1,145
2,100331,1,1.00,0.00,9121225,37,15,0,0,52
2,100331,1,1.00,0.00,9121226,71,7,0,0,78
2,100331,1,1.00,0.00,9121227,35,13,0,0,48
2,100331,1,1.00,0.00,9121228,43,1,0,0,44
2,100331,1,1.00,0.00,9121229,36,3,7,0,46
2,100331,1,1.00,0.00,9121230,81,15,0,0,96
2,100331,1,1.00,0.00,9121231,42,17,0,3,62
2,100331,1,1.00,0.00,9121232,39,15,0,0,54
2,100331,1,1.00,0.00,9121233,43,353,0,0,396
2,100331,1,1.00,0.00,9121234,40,11,0,0,51
2,100331,1,1.00,0.00,9121235,40,15,0,1,56
2,100331,1,1.00,0.00,9121236,50,7,0,2,59
2,100331,1,1.00,0.00,9121237,88,72,2,1,163
2,100331,1,1.00,0.00,9121238,55,28,0,0,83
2,100331,1,1.00,0.00,9121239,48,7,0,14,69
2,100331,1,1.00,0.00,9121240,42,8,0,4,54
2,100331,1,1.00,0.00,9121241,90,0,0,0,90
2,100331,1,1.00,0.00,9121242,54,14,1,5,74
2,100331,1,1.00,0.00,9121243,41,12,0,4,57
2,100331,1,1.00,0.00,9121244,38,10,0,3,51
2,100331,1,1.00,0.00,9121245,40,17,1,0,58
2,100331,1,1.00,0.00,9121246,42,15,0,5,62
2,100331,1,1.00,0.00,9121247,36,11,1,2,50
2,100331,1,1.00,0.00,9121248,40,28,0,69,137
2,100331,1,1.00,0.00,9121249,43,10,0,5,58
2,100331,1,1.00,0.00,9121250,40,13,0,4,57
2,100331,1,1.00,0.00,9121251,56,8,0,6,70
2,100331,1,1.00,0.00,9121252,91,7,0,7,105
2,100331,1,1.00,0.00,9121253,42,399,0,0,441
2,100331,1,1.00,0.00,9121254,137,0,0,0,137
2,100331,1,1.00,0.00,9121255,43,118,0,4,165
2,100331,1,1.00,0.00,9121256,51,65,0,0,116
2,100331,1,1.00,0.00,9121257,46,30,10,0,86
3,100330,1,1.00,0.00,9120558,83,1,0,0,84
3,100330,1,1.00,0.00,9120559,46,22,0,4,72
3,100330,1,1.00,0.00,9120560,63,24,0,1,88
3,100330,1,1.00,0.00,9120561,41,23,0,0,64
3,100330,1,1.00,0.00,9120562,42,62,0,1,105
3,100330,1,1.00,0.00,9120563,59,52,0,0,111
3,100330,1,1.00,0.00,9120564,113,49,0,0,162
3,100330,1,1.00,0.00,9120565,41,11,0,2,54
3,100330,1,1.00,0.00,9120566,39,51,2,0,92
3,100330,1,1.00,0.00,9120567,89,25,0,2,116
3,100330,1,1.00,0.00,9120568,156,29,0,4,189
3,100330,1,1.00,0.00,9120569,44,66,0,0,110
3,100330,1,1.00,0.00,9120570,49,23,0,10,82
3,100330,1,1.00,0.00,9120571,63,16,1,3,83
3,100330,1,1.00,0.00,9120572,36,13,0,0,49
3,100330,1,1.00,0.00,9120573,35,5,0,9,49
3,100330,1,1.00,0.00,9120574,43,35,0,0,78
3,100330,1,1.00,0.00,9120575,39,25,0,0,64
3,100330,1,1.00,0.00,9120576,56,24,0,2,82
3,100330,1,1.00,0.00,9120577,43,13,0,0,56
3,100330,1,1.00,0.00,9120578,80,22,0,0,102
3,100330,1,1.00,0.00,9120579,49,31,0,11,91
3,100330,1,1.00,0.00,9120580,51,36,0,0,87
3,100330,1,1.00,0.00,9120581,53,6,0,0,59
3,100330,1,1.00,0.00,9120582,85,75,0,2,162
3,100330,1,1.00,0.00,9120583,119,143,1,0,263
3,100330,1,1.00,0.00,9120584,53,137,0,0,190
3,100330,1,1.00,0.00,9120585,98,46,0,0,144
3,100330,1,1.00,0.00,9120586,39,11,0,7,57
3,100330,1,1.00,0.00,9120587,50,90,0,3,143
3,100330,1,1.00,0.00,9120588,43,26,0,1,70
3,100330,1,1.00,0.00,9120589,42,83,0,1,126
3,100330,1,1.00,0.00,9120590,42,139,1,3,185
3,100330,1,1.00,0.00,9120591,41,24,0,0,65
3,100330,1,1.00,0.00,9120592,51,10,0,1,62
3,100330,1,1.00,0.00,9120593,58,172,0,4,234
3,100330,1,1.00,0.00,9120594,71,147,0,0,218
3,100330,1,1.00,0.00,9120595,45,146,0,0,191
3,100330,1,1.00,0.00,9120596,53,28,0,0,81
3,100330,1,1.00,0.00,9120597,49,7,0,0,56
3,100330,1,1.00,0.00,9120598,56,6,0,0,62
3,100330,1,1.00,0.00,9120599,51,75,0,0,126
3,100330,1,1.00,0.00,9120600,119,24,10,1,154
3,100330,1,1.00,0.00,9120601,64,3,0,2,69
3,100330,1,1.00,0.00,9120602,63,29,0,0,92
3,100330,1,1.00,0.00,9120603,49,41,0,0,90
3,100330,1,1.00,0.00,9120604,48,85,8,0,141
3,100330,1,1.00,0.00,9120605,57,17,0,4,78
3,100330,1,1.00,0.00,9120606,57,39,0,42,138
3,100330,1,1.00,0.00,9120607,48,6,0,3,57
3,100330,1,1.00,0.00,9120608,46,10,0,1,57
3,100330,1,1.00,0.00,9120609,59,22,1,0,82
3,100330,1,1.00,0.00,9120610,39,83,0,2,124
3,100330,1,1.00,0.00,9120611,72,384,0,0,456
3,100330,1,1.00,0.00,9120612,42,81,1,8,132
3,100330,1,1.00,0.00,9120613,50,4,0,0,54
3,100330,1,1.00,0.00,9120614,54,16,0,0,70
3,100330,1,1.00,0.00,9120615,56,27,0,18,101
3,100330,1,1.00,0.00,9120616,82,15,0,6,103
3,100330,1,1.00,0.00,9120617,99,24,0,0,123
3,100331,1,1.00,0.00,9121258,82,0,0,0,82
3,100331,1,1.00,0.00,9121259,41,35,0,0,76
3,100331,1,1.00,0.00,9121260,65,4,0,2,71
3,100331,1,1.00,0.00,9121261,42,362,0,0,404
3,100331,1,1.00,0.00,9121262,58,47,0,1,106
3,100331,1,1.00,0.00,9121263,57,112,0,0,169
3,100331,1,1.00,0.00,9121264,119,53,0,0,172
3,100331,1,1.00,0.00,9121265,44,14,0,0,58
3,100331,1,1.00,0.00,9121266,39,69,0,4,112
3,100331,1,1.00,0.00,9121267,88,24,0,0,112
3,100331,1,1.00,0.00,9121268,177,46,14,0,237
3,100331,1,1.00,0.00,9121269,51,59,0,0,110
3,100331,1,1.00,0.00,9121270,42,43,0,0,85
3,100331,1,1.00,0.00,9121271,67,12,0,0,79
3,100331,1,1.00,0.00,9121272,36,8,0,0,44
3,100331,1,1.00,0.00,9121273,39,11,0,0,50
3,100331,1,1.00,0.00,9121274,45,33,0,0,78
3,100331,1,1.00,0.00,9121275,37,23,0,0,60
3,100331,1,1.00,0.00,9121276,38,40,1,1,80
3,100331,1,1.00,0.00,9121277,44,14,0,1,59
3,100331,1,1.00,0.00,9121278,48,34,0,6,88
3,100331,1,1.00,0.00,9121279,55,38,0,0,93
3,100331,1,1.00,0.00,9121280,53,36,0,0,89
3,100331,1,1.00,0.00,9121281,56,0,4,0,60
3,100331,1,1.00,0.00,9121282,65,91,341,0,497
3,100331,1,1.00,0.00,9121283,138,135,0,0,273
3,100331,1,1.00,0.00,9121284,42,35,2,0,79
3,100331,1,1.00,0.00,9121285,46,85,0,0,131
3,100331,1,1.00,0.00,9121286,40,36,0,3,79
3,100331,1,1.00,0.00,9121287,54,201,0,0,255
3,100331,1,1.00,0.00,9121288,38,21,0,1,60
3,100331,1,1.00,0.00,9121289,43,86,0,1,130
3,100331,1,1.00,0.00,9121290,40,85,1,0,126
3,100331,1,1.00,0.00,9121291,40,47,0,0,87
3,100331,1,1.00,0.00,9121292,57,14,0,9,80
3,100331,1,1.00,0.00,9121293,40,217,0,0,257
3,100331,1,1.00,0.00,9121294,43,65,0,0,108
3,100331,1,1.00,0.00,9121295,37,18,0,70,125
3,100331,1,1.00,0.00,9121296,57,36,0,1,94
3,100331,1,1.00,0.00,9121297,39,12,6,0,57
3,100331,1,1.00,0.00,9121298,42,23,0,0,65
3,100331,1,1.00,0.00,9121299,43,81,1,0,125
3,100331,1,1.00,0.00,9121300,123,39,343,0,505
3,100331,1,1.00,0.00,9121301,34,34,0,0,68
3,100331,1,1.00,0.00,9121302,43,43,4,7,97
3,100331,1,1.00,0.00,9121303,52,22,0,24,98
3,100331,1,1.00,0.00,9121304,47,34,1,10,92
3,100331,1,1.00,0.00,9121305,64,23,0,1,88
3,100331,1,1.00,0.00,9121306,43,39,0,0,82
3,100331,1,1.00,0.00,9121307,37,16,1,0,54
3,100331,1,1.00,0.00,9121308,51,0,0,0,51
3,100331,1,1.00,0.00,9121309,64,17,0,0,81
3,100331,1,1.00,0.00,9121310,42,91,3,0,136
3,100331,1,1.00,0.00,9121311,77,126,0,0,203
3,100331,1,1.00,0.00,9121312,46,105,0,0,151
3,100331,1,1.00,0.00,9121313,35,23,0,0,58
3,100331,1,1.00,0.00,9121314,58,24,0,0,82
3,100331,1,1.00,0.00,9121315,64,21,0,0,85
3,100331,1,1.00,0.00,9121316,93,9,0,6,108
3,100331,1,1.00,0.00,9121317,107,351,0,0,458
3,100332,1,1.00,0.00,9077966,151,0,0,0,151
3,100332,1,1.00,0.00,9077967,44,11,0,9,64
3,100332,1,1.00,0.00,9077968,66,25,0,1,92
3,100332,1,1.00,0.00,9077969,42,10,4,2,58
3,100332,1,1.00,0.00,9077970,50,42,335,0,427
3,100332,1,1.00,0.00,9077971,59,38,338,0,435
3,100332,1,1.00,0.00,9077972,120,52,0,0,172
3,100332,1,1.00,0.00,9077973,43,8,0,2,53
3,100332,1,1.00,0.00,9077974,39,70,0,0,109
3,100332,1,1.00,0.00,9077975,89,12,12,0,113
3,100332,1,1.00,0.00,9077976,203,71,0,0,274
3,100332,1,1.00,0.00,9077977,43,57,0,0,100
3,100332,1,1.00,0.00,9077978,43,41,0,0,84
3,100332,1,1.00,0.00,9077979,71,8,0,0,79
3,100332,1,1.00,0.00,9077980,40,10,0,0,50
3,100332,1,1.00,0.00,9077981,37,11,0,0,48
3,100332,1,1.00,0.00,9077982,39,6,1,2,48
3,100332,1,1.00,0.00,9077983,54,11,0,0,65
3,100332,1,1.00,0.00,9077984,57,19,0,0,76
3,100332,1,1.00,0.00,9077985,43,14,0,1,58
3,100332,1,1.00,0.00,9077986,80,12,9,390,491
3,100332,1,1.00,0.00,9077987,49,21,0,0,70
3,100332,1,1.00,0.00,9077988,47,37,0,2,86
3,100332,1,1.00,0.00,9077989,59,77,0,0,136
3,100332,1,1.00,0.00,9077990,38,68,0,21,127
3,100332,1,1.00,0.00,9077991,117,160,0,4,281
3,100332,1,1.00,0.00,9077992,38,72,70,0,180
3,100332,1,1.00,0.00,9077993,38,67,0,0,105
3,100332,1,1.00,0.00,9077994,38,52,8,0,98
3,100332,1,1.00,0.00,9077995,44,103,1,0,148
3,100332,1,1.00,0.00,9077996,38,360,0,0,398
3,100332,1,1.00,0.00,9077997,44,12,10,0,66
3,100332,1,1.00,0.00,9077998,37,12,1,7,57
3,100332,1,1.00,0.00,9077999,40,21,6,0,67
3,100332,1,1.00,0.00,9078000,39,13,0,10,62
3,100332,1,1.00,0.00,9078001,42,40,0,0,82
3,100332,1,1.00,0.00,9122002,96,152,0,0,248
3,100332,1,1.00,0.00,9122003,38,11,0,5,54
3,100332,1,1.00,0.00,9122004,56,15,0,3,74
3,100332,1,1.00,0.00,9122005,39,13,4,0,56
3,100332,1,1.00,0.00,9122006,42,14,0,1,57
3,100332,1,1.00,0.00,9122007,40,101,1,0,142
3,100332,1,1.00,0.00,9122008,92,42,0,2,136
3,100332,1,1.00,0.00,9122009,36,6,1,3,46
3,100332,1,1.00,0.00,9122010,43,18,7,0,68
3,100332,1,1.00,0.00,9122011,42,59,0,0,101
3,100332,1,1.00,0.00,9122012,49,84,0,0,133
3,100332,1,1.00,0.00,9122013,66,7,0,3,76
3,100332,1,1.00,0.00,9122014,46,20,0,16,82
3,100332,1,1.00,0.00,9122015,38,4,0,5,47
3,100332,1,1.00,0.00,9122016,39,4,1,1,45
3,100332,1,1.00,0.00,9122017,37,27,1,1,66
3,100332,1,1.00,0.00,9122018,43,86,1,0,130
3,100332,1,1.00,0.00,9122019,82,121,0,0,203
3,100332,1,1.00,0.00,9122020,41,77,1,0,119
3,100332,1,1.00,0.00,9122021,35,15,7,0,57
3,100332,1,1.00,0.00,9122022,58,13,0,3,74
3,100332,1,1.00,0.00,9122023,63,26,0,0,89
3,100332,1,1.00,0.00,9122024,85,16,0,0,101
