TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
2,100320,1,1.00,0.00,9080110,224,1,0,0,225
2,100320,1,1.00,0.00,9080111,275,162,0,0,437
2,100320,1,1.00,0.00,9080112,219,2,0,0,221
2,100320,1,1.00,0.00,9080113,243,0,0,0,243
2,100320,1,1.00,0.00,9080114,348,0,0,0,348
2,100320,1,1.00,0.00,9080115,188,0,0,0,188
2,100320,1,1.00,0.00,9080116,6,4,2,0,12
2,100320,1,1.00,0.00,9080117,2,5,0,0,7
2,100320,1,1.00,0.00,9080118,4,12,0,0,16
2,100320,1,1.00,0.00,9080119,3,3,0,1,7
2,100320,1,1.00,0.00,9080120,5,8,1,0,14
2,100320,1,1.00,0.00,9080121,2,6,0,1,9
2,100321,1,1.00,0.00,9081002,2,2,0,2,6
2,100321,1,1.00,0.00,9081003,2,4,0,0,6
2,100321,1,1.00,0.00,9081004,111,0,0,0,111
2,100321,1,1.00,0.00,9081005,2,2,0,25,29
2,100321,1,1.00,0.00,9081006,9,176,0,0,185
2,100321,1,1.00,0.00,9081007,1,3,0,0,4
2,100321,1,1.00,0.00,9081008,1,8,0,0,9
2,100321,1,1.00,0.00,9081009,1,3,0,0,4
2,100321,1,1.00,0.00,9081010,1,5,0,0,6
2,100321,1,1.00,0.00,9081011,1,3,0,0,4
2,100321,1,1.00,0.00,9081012,103,0,0,0,103
2,100321,1,1.00,0.00,9081013,1,2,0,0,3
2,100321,1,1.00,0.00,9081014,62,0,1,0,63
2,100321,1,1.00,0.00,9081015,1,1,0,0,2
2,100321,1,1.00,0.00,9081016,133,0,0,0,133
2,100321,1,1.00,0.00,9081017,1,3,0,0,4
2,100321,1,1.00,0.00,9081018,18,2,0,3,23
2,100321,1,1.00,0.00,9081019,16,10,0,0,26
2,100321,1,1.00,0.00,9081020,4,4,0,0,8
2,100321,1,1.00,0.00,9081021,2,9,0,1,12
2,100321,1,1.00,0.00,9081022,3,5,0,0,8
2,100321,1,1.00,0.00,9081023,4,42,0,0,46
2,100321,1,1.00,0.00,9081024,207,0,0,0,207
2,100321,1,1.00,0.00,9081025,17,7,0,2,26
2,100321,1,1.00,0.00,9081026,5,2,0,0,7
2,100321,1,1.00,0.00,9081027,120,1,0,0,121
2,100321,1,1.00,0.00,9081028,22,0,0,0,22
2,100321,1,1.00,0.00,9081029,56,1,0,0,57
2,100321,1,1.00,0.00,9081030,6,6,0,0,12
2,100321,1,1.00,0.00,9081031,4,3,0,0,7
2,100321,1,1.00,0.00,9081032,3,3,0,1,7
2,100321,1,1.00,0.00,9081033,10,11,0,0,21
2,100321,1,1.00,0.00,9081034,2,3,0,11,16
2,100321,1,1.00,0.00,9081035,2,2,0,1,5
2,100321,1,1.00,0.00,9081036,28,10,0,0,38
