TestNumber,Account,OrdPerSec,OrdPerSec_Mean,Order,New,Calculated1,Filled,Calculated2,Total
1,100321,1,1.00,7996815,4,2,0,0,6
1,100321,1,1.00,7996816,2,50,0,0,52
1,100321,1,1.00,7996817,40,15,1,4,68
1,100322,1,1.00,7997993,274,182,12,0,468
1,100322,1,1.00,7997995,31,9,0,14,82
1,100322,1,1.00,7997998,7,48,0,0,55
1,100322,1,1.00,7998000,46,257,0,2,309
1,100322,1,1.00,8001002,74,11,4,0,89
1,100322,1,1.00,8001004,65,204,0,0,269
1,100322,1,1.00,8001006,15,62,0,0,77
1,100322,1,1.00,8001008,151,29,0,0,180
1,100322,1,1.00,8001010,30,135,5,0,170
1,100322,1,1.00,8001012,18,27,1,0,46
1,100322,1,1.00,8001014,89,15,0,0,104
1,100322,1,1.00,8001016,172,150,0,0,322
1,100322,1,1.00,8001018,4,63,3,0,70
1,100322,1,1.00,8001020,32,12,0,0,44
1,100322,1,1.00,8001022,49,63,5,0,117
1,100322,1,1.00,8001024,9,9,0,3,27
1,100322,1,1.00,8001026,2,3,0,6,23
1,100322,1,1.00,8001028,8,5,0,1,16
1,100322,1,1.00,8001030,2,3,0,0,5
1,100322,1,1.00,8001032,4,11,0,2,21
1,100322,1,1.00,8001034,2,3,0,1,8
1,100322,1,1.00,8001036,5,18,0,34,125
1,100322,1,1.00,8001038,8,83,0,0,91
1,100322,1,1.00,8001040,12,43,0,0,55
1,100322,1,1.00,8001042,9,23,0,0,32
1,100322,1,1.00,8001044,19,13,45,0,77
1,100322,1,1.00,8001046,6,50,2,2,64
1,100322,1,1.00,8001048,389,435,0,0,824
1,100322,1,1.00,8001050,20,51,0,0,71
1,100322,1,1.00,8001052,2,3,0,0,5
1,100322,1,1.00,8001054,6,43,0,0,49
1,100322,1,1.00,8001056,16,254,0,0,270
1,100322,1,1.00,8001058,6,7,0,0,13
1,100322,1,1.00,8001060,5,1,0,1,9
1,100322,1,1.00,8001062,3,9,0,0,12
1,100322,1,1.00,8001064,17,3,0,0,20
1,100322,1,1.00,8001066,4,10,0,0,14
1,100322,1,1.00,8001068,5,10,0,0,15
1,100322,1,1.00,8001070,9,2,0,0,11
1,100322,1,1.00,8001072,6,2,1,1,12
1,100322,1,1.00,8001074,2,23,0,1,28
1,100322,1,1.00,8001076,31,5,0,1,39
1,100322,1,1.00,8001078,10,7,0,2,23
1,100322,1,1.00,8001080,2,29,0,0,31
1,100322,1,1.00,8001082,46,97,1,0,144
1,100322,1,1.00,8001084,43,7,0,3,59
1,100322,1,1.00,8001086,11,301,0,0,312
1,100322,1,1.00,8001088,3,12,0,0,15
1,100322,1,1.00,8001090,5,20,0,0,25
1,100322,1,1.00,8001092,308,1,0,0,309
1,100322,1,1.00,8001094,35,11,12,0,58
1,100322,1,1.00,8001096,3,6,0,0,9
1,100322,1,1.00,8001097,65,53,77,0,195
1,100322,1,1.00,8001100,8,7,0,0,15
1,100322,1,1.00,8001101,22,13,0,0,35
1,100323,1,1.00,7994903,269,59,2,0,330
1,100323,1,1.00,7994904,175,125,0,0,300
1,100323,1,1.00,7994905,6,18,0,5,39
1,100323,1,1.00,7994906,304,48,0,1,355
1,100323,1,1.00,7994907,12,10,1,88,287
1,100323,1,1.00,7994908,158,608,0,0,766
1,100323,1,1.00,7994909,55,6,0,2,67
1,100323,1,1.00,7994910,76,237,0,0,313
1,100323,1,1.00,7994911,50,55,0,1,108
1,100323,1,1.00,7994912,11,47,0,0,58
1,100323,1,1.00,7994913,88,0,0,0,88
1,100323,1,1.00,7994914,63,135,0,0,198
1,100323,1,1.00,7994915,14,5,0,0,19
1,100323,1,1.00,7994916,6,22,0,0,28
1,100323,1,1.00,7994917,26,104,0,0,130
1,100323,1,1.00,7994918,5,4,14,0,23
1,100323,1,1.00,7994919,4,12,0,0,16
1,100323,1,1.00,7994920,4,5,0,0,9
1,100323,1,1.00,7994921,80,0,0,0,80
1,100323,1,1.00,7994922,26,31,0,2,63
1,100323,1,1.00,7994923,6,28,0,0,34
1,100323,1,1.00,7994924,5,7,0,0,12
1,100323,1,1.00,7994925,19,14,0,0,33
1,100323,1,1.00,7994926,14,31,0,3,54
1,100323,1,1.00,7994927,10,5,0,0,15
1,100323,1,1.00,7994928,37,151,0,0,188
1,100323,1,1.00,7994929,6,59,0,0,65
1,100323,1,1.00,7994930,542,216,0,0,758
1,100323,1,1.00,7994931,10,53,0,0,63
1,100323,1,1.00,7994932,2,23,0,0,25
1,100323,1,1.00,7994933,10,37,0,0,47
1,100323,1,1.00,7994934,30,62,2,0,94
1,100323,1,1.00,7994935,16,2,0,5,33
1,100323,1,1.00,7994936,6,8,36,0,50
1,100323,1,1.00,7994937,18,9,0,0,27
1,100323,1,1.00,7994938,2,3,0,1,8
1,100323,1,1.00,7994939,2,5,0,1,10
1,100323,1,1.00,7994940,3,13,0,1,19
1,100323,1,1.00,7994941,21,12,0,0,33
1,100323,1,1.00,7994942,4,4,0,0,8
1,100323,1,1.00,7994943,19,3,0,0,22
1,100323,1,1.00,7994944,9,5,0,0,14
1,100323,1,1.00,7994945,8,48,0,0,56
1,100323,1,1.00,7994946,10,3,0,1,16
1,100323,1,1.00,7994947,67,12,0,0,79
1,100323,1,1.00,7994948,4,53,0,0,57
1,100323,1,1.00,7994949,95,20,0,0,115
1,100323,1,1.00,7994950,87,94,0,0,181
1,100323,1,1.00,7994951,7,11,0,0,18
1,100323,1,1.00,7994952,95,39,0,0,134
1,100323,1,1.00,7994953,43,3,47,0,93
1,100323,1,1.00,7994954,3,6,46,0,55
1,100323,1,1.00,7994955,13,124,0,0,137
1,100323,1,1.00,7994956,68,4,5,4,89
1,100323,1,1.00,7994957,6,53,0,14,101
1,100324,1,1.00,7993981,239,184,0,0,423
1,100324,1,1.00,7993982,16,232,0,0,248
1,100324,1,1.00,7993983,5,12,0,0,17
1,100324,1,1.00,7993984,78,212,0,0,290
1,100324,1,1.00,7993985,24,4,0,1,31
1,100324,1,1.00,7993986,59,68,0,0,127
1,100324,1,1.00,7993987,56,52,0,0,108
1,100324,1,1.00,7993988,142,35,0,0,177
1,100324,1,1.00,7993989,17,133,0,0,150
1,100324,1,1.00,7993990,18,28,0,0,46
1,100324,1,1.00,7993991,84,104,0,0,188
1,100324,1,1.00,7993992,150,12,0,0,162
1,100324,1,1.00,7993993,52,13,0,2,71
1,100324,1,1.00,7993994,13,2,18,2,39
1,100324,1,1.00,7993995,17,0,0,2,23
1,100324,1,1.00,7993996,43,0,0,0,43
1,100324,1,1.00,7993997,7,3,0,0,10
1,100324,1,1.00,7993998,2,3,0,0,5
1,100324,1,1.00,7993999,7,3,0,3,19
1,100324,1,1.00,7994000,4,14,0,0,18
1,100324,1,1.00,7994001,4,8,0,0,12
1,100324,1,1.00,8003002,8,4,0,1,15
1,100324,1,1.00,8003003,5,18,0,2,29
1,100324,1,1.00,8003004,42,5,1,0,48
1,100324,1,1.00,8003005,5,10,0,0,15
1,100324,1,1.00,8003006,20,53,19,0,92
1,100324,1,1.00,8003007,37,18,0,0,55
1,100324,1,1.00,8003008,196,386,0,0,582
1,100324,1,1.00,8003009,28,12,0,0,40
1,100324,1,1.00,8003010,2,2,0,0,4
1,100324,1,1.00,8003011,6,4,0,6,28
1,100324,1,1.00,8003012,29,58,0,0,87
1,100324,1,1.00,8003013,65,80,3,0,148
1,100324,1,1.00,8003014,25,130,0,0,155
1,100324,1,1.00,8003015,44,48,0,0,92
1,100324,1,1.00,8003016,2,1,0,0,3
1,100324,1,1.00,8003017,5,3,3,0,11
1,100324,1,1.00,8003018,12,72,0,0,84
1,100324,1,1.00,8003019,42,13,0,1,58
1,100324,1,1.00,8003020,105,8,0,0,113
1,100324,1,1.00,8003021,15,13,0,0,28
1,100324,1,1.00,8003022,16,26,0,0,42
1,100324,1,1.00,8003023,36,1,0,19,94
1,100324,1,1.00,8003024,7,4,0,0,11
1,100324,1,1.00,8003025,35,3,0,2,44
1,100324,1,1.00,8003026,102,208,0,0,310
1,100324,1,1.00,8003027,5,11,0,0,16
1,100324,1,1.00,8003028,6,26,0,0,32
1,100324,1,1.00,8003029,247,54,0,0,301
1,100324,1,1.00,8003030,19,40,0,6,77
1,100324,1,1.00,8003031,13,4,0,1,20
1,100324,1,1.00,8003032,57,134,0,1,194
1,100324,1,1.00,8003033,3,18,0,1,24
1,100324,1,1.00,8003034,3,64,0,0,67
1,100325,1,1.00,7999020,293,35,24,0,352
1,100325,1,1.00,7999021,42,18,0,0,60
1,100325,1,1.00,7999022,15,45,0,0,60
1,100325,1,1.00,7999023,267,101,0,0,368
1,100325,1,1.00,7999024,10,7,0,1,20
1,100325,1,1.00,7999025,205,186,170,0,561
1,100325,1,1.00,7999026,48,72,0,0,120
1,100325,1,1.00,7999027,102,63,0,2,171
1,100325,1,1.00,7999028,117,67,0,0,184
1,100325,1,1.00,7999029,73,27,0,0,100
1,100325,1,1.00,7999030,41,135,0,0,176
1,100325,1,1.00,7999031,144,0,0,0,144
1,100325,1,1.00,7999032,5,41,0,6,64
1,100325,1,1.00,7999033,26,2,0,0,28
1,100325,1,1.00,7999034,98,6,0,0,104
1,100325,1,1.00,7999035,8,35,0,16,91
1,100325,1,1.00,7999036,4,51,0,0,55
1,100325,1,1.00,7999037,2,3,0,0,5
1,100325,1,1.00,7999038,8,14,4,0,26
1,100325,1,1.00,7999039,4,66,0,0,70
1,100325,1,1.00,7999040,4,4,0,9,35
1,100325,1,1.00,7999041,3,8,1,0,12
1,100325,1,1.00,7999042,18,12,8,0,38
1,100325,1,1.00,7999043,7,27,0,0,34
1,100325,1,1.00,7999044,15,5,0,0,20
1,100325,1,1.00,7999045,70,52,0,0,122
1,100325,1,1.00,7999046,53,4,0,3,66
1,100325,1,1.00,7999047,192,267,0,109,786
1,100325,1,1.00,7999048,23,0,0,0,23
1,100325,1,1.00,7999049,36,10,2,0,48
1,100325,1,1.00,7999050,2,9,0,0,11
1,100325,1,1.00,7999051,27,0,0,0,27
1,100325,1,1.00,7999052,24,6,1,0,31
1,100325,1,1.00,7999053,6,9,1,3,25
1,100325,1,1.00,7999054,6,46,0,0,52
1,100325,1,1.00,7999055,56,49,0,0,105
1,100325,1,1.00,7999056,2,2,0,1,7
1,100325,1,1.00,7999057,2,4,0,0,6
1,100325,1,1.00,7999058,6,4,0,1,13
1,100325,1,1.00,7999059,9,0,0,0,9
1,100325,1,1.00,7999060,14,40,0,0,54
1,100325,1,1.00,7999061,13,7,0,1,23
1,100325,1,1.00,7999062,41,0,0,0,41
1,100325,1,1.00,7999063,19,10,0,12,65
1,100325,1,1.00,7999064,5,4,0,1,12
1,100325,1,1.00,7999065,3,4,0,1,10
1,100325,1,1.00,7999066,132,304,0,0,436
1,100325,1,1.00,7999067,27,29,0,1,59
1,100325,1,1.00,7999068,24,10,0,0,34
1,100325,1,1.00,7999069,418,32,0,0,450
1,100325,1,1.00,7999070,9,1,0,0,10
1,100325,1,1.00,7999071,48,0,0,0,48
1,100325,1,1.00,7999072,70,20,0,0,90
1,100325,1,1.00,7999073,4,19,0,0,23
1,100325,1,1.00,7999074,12,72,33,0,117
1,100326,1,1.00,7992990,291,185,0,0,476
1,100326,1,1.00,7992991,31,217,0,0,248
1,100326,1,1.00,7992992,14,44,3,0,61
1,100326,1,1.00,7992993,289,0,0,0,289
1,100326,1,1.00,7992994,24,9,2,0,35
1,100326,1,1.00,7992995,6,457,0,0,463
1,100326,1,1.00,7992996,62,63,0,1,128
1,100326,1,1.00,7992997,6,158,0,0,164
1,100326,1,1.00,7992998,6,20,0,2,32
1,100326,1,1.00,7992999,30,13,2,0,45
1,100326,1,1.00,7993000,123,93,0,0,216
1,100326,1,1.00,7993001,179,213,116,8,532
1,100326,1,1.00,8002002,11,3,0,2,20
1,100326,1,1.00,8002003,10,12,4,0,26
1,100326,1,1.00,8002004,41,439,0,0,480
1,100326,1,1.00,8002005,8,7,0,4,27
1,100326,1,1.00,8002006,8,3,0,0,11
1,100326,1,1.00,8002007,4,7,0,0,11
1,100326,1,1.00,8002008,2,3,1,0,6
